keys,en,zh,_info
snNightBird,NightBird,夜雀,
snMoonlightRay,MoonlightRay,月光,
snDarkSideOfTheMoon,DarkSideOfTheMoon,月之暗面,
snMagicDark,MagicDark,魔法黑暗,
snDemarcation,Demarcation,境界线,
snDreamOrb,DreamOrb,梦想妙珠,
snTreasureOrb,TreasureOrb,阴阳宝玉,
snLightToShade,LightToShade,明珠暗投,
snYinyangScatter,YinyangScatter,阴阳散华,
snDreamSeal,DreamSeal,梦想封印,
snMultistrike,Multistrike,连续打击,
snSpiralLightSteps,SpiralLightSteps,螺光步,
snCrimsonEnergyRelease,CrimsonEnergyRelease,红寸劲,
snIntenseRainbowFist,IntenseRainbowFist,烈虹真拳,
snDapengFellingFist,DapengFellingFist,大鹏坠击拳,
snSummerRed,SummerRed,夏日火红,
snAgniShine,AgniShine,火神之光,
snAgniRadiance,AgniRadiance,火神威光,
snLavaCromlech,LavaCromlech,环形熔岩带,
snPhlogisticPillar,PhlogisticPillar,燃素之柱,
snMesmerizingMisdirection,MesmerizingMisdirection,幻惑误导,
snImaginaryVerticalTime,ImaginaryVerticalTime,假想时轴,
snPerfectSquare,PerfectSquare,完美空间,
snLunaDial,LunaDial,月时计,
snSakuyasWorld,SakuyasWorld,咲夜的世界,
snStarOfDavid,StarOfDavid,大卫之星,
snScarletNetherworld,ScarletNetherworld,红色的冥界,
snScarletDevil,ScarletDevil,绯红恶魔,
snScarletShoot,ScarletShoot,绯红之击,
snScarletGensokyo,ScarletGensokyo,红色幻想乡,
sAsteroidBelt,Fires {0} close range attack bullets; dealing an additional {1}% physical damage.,发出 {0} 颗近距离攻击子弹; 会额外造成 {1}% 体术伤害。,////////////////////////////////////////////技能描述
sMilkyWay,Fires 3 star bullets at a visible enemy every 1 tile moved,每移动1格; {0}%向一个视野内敌人发射3颗星弹。{1},
sMilkyWay0,,击中后回复10MP。,
sBlazingStar,Charges toward an enemy within {0} tiles; dealing 30 melee damage and firing a barrage of bullets,向{0}格内敌人冲锋; 对其造成30体术伤害; 同时发射大量子弹。,
sDragonMeteor,Summons a meteor that deals 40 bullet damage to enemies within {0} tiles,召唤一颗陨石; 对{0}格内敌人造成40弹幕伤害。{1},
sDragonMeteor0,,随机额外召唤一颗。,
sStardustReverie,Fires a total of {0} star bullets; increases movement speed by {1}% while active,持续发出共{0}颗星弹; 发动时移动速度+{1}%。,
sIcefall,Fires {0} ice bullets that deal damage. Deals 100% damage to frozen units.,发出 {0} 颗冰弹进行攻击; 对冰冻单位造成 100% 伤害。{1},
sIcefall0,Make unit's freeze status 2 turns longer,使敌人冰冻状态延长2回合。,
sMinusK,Deals 30 bullet damage and freezes for {0} turns{1}.,造成 30 弹幕伤害; 并冻结 {0} 回合{1}。,
sMinusK0,Freeze units in 1 tile for 3 turns,; 1格内单位冻结3回合,
sDiamondBlizzard,Deals 30 physical damage to all enemies within {0} tiles{1}.,对 {0} 格内所有敌人造成 30 体术伤害{1}。,
sDiamondBlizzard0,kickback for 4 tiles,; 并击退4格,
sPerfectGlacialist,Fires 1 ice bullet that freezes the target for 4 turns{0} generates {1} ice particles.,发射 1 颗冰弹; 击中单位后会将其冻结 4 回合{0}生成 {1} 颗冰粒。,
sPerfectGlacialist0,or,; 若已冻结则,
sPerfectGlacialist1,and,并,
sPerfectFreeze,Continuously emits ring bullets. Units hit have a {0}% chance to be frozen for {1} turns. Frozen units cannot act but take only 10% damage.,持续发出大量环弹; 被击中的单位 {0}% 被冰冻 {1} 回合。冰冻单位无法行动; 但只受到 10% 伤害。,
sNightBird,Fires {0} bullets. Damage increases by {1}% for each point of vision the target lacks.,发出 {0} 颗子弹攻击; 目标视野每减少 1 点; 伤害 +{1}%。,
sMoonlightRay,Fires a laser that deals 30 bullet damage and converts {0}% SP to damage{1}.,发射一道激光; 造成 30 弹幕伤害; 回复击中伤害的 {0}% HP{1}。,
sMoonlightRay0,dazing unit for 3 turns,; 使敌人眩晕3回合,
sDarkSideOfTheMoon,Charge at an enemy and deal 30 physical damage. If the target is out of vision; damage +{0}.,向一个敌人冲锋; 造成 30 体术伤害; 若处于视野外伤害 +{0}。,
sMagicDark,Darkens a {0}-tile radius around a selected tile for 5 turns{1}.,使一个格子周围 {0} 格进入黑暗 5 回合{1}。,
sMagicDark0,deal 15 bullet damage to units in it.,; 对内部的敌人造成15点弹幕伤害,
sDemarcation,Darkens {0}-tile radius for {1} turns; and fires 120 crossing bullets. {2},周围 {0} 格陷入黑暗 {1} 回合; 发出 120 颗交叉子弹{2}。,
sDemarcation0,"Broken-damage is halved in darkness",; 黑暗状态下被击破伤害减半,
sDreamOrb,"Shoots {0} homing bullets, gains {1} yin-yang orbs.",发出 {0} 颗追踪弹; 获得 {1} 个阴阳玉。,
sTreasureOrb,"Gain 1 yin-yang orb stack every 5 turns.",每5回合获得1层阴阳玉,
sTreasureOrb0,。,。,
sTreasureOrb1,"Yin-yang orbs inflict 1-turn Weak.",。阴阳玉击中敌人会施加1回合虚弱。,
sTreasureOrb2,"Yin-yang orbs inflict 1-turn Weak. Orb damage absorption +6.",。阴阳玉击中敌人会施加1回合虚弱。阴阳玉伤害吸收+6。,
sTreasureOrb3,"Yin-yang orbs inflict 1-turn Weak. Orb damage absorption +6, damage +8.",。阴阳玉击中敌人会施加1回合虚弱。阴阳玉伤害吸收+6。阴阳玉造成伤害+8。,
sLightToShade,"Shoot 12 bullets and {0} invisible orbs. {1}",发射12颗子弹和 {0} 颗隐形阴阳玉。 {1},
sLightToShade0,"Return to self after orb hits",阴阳玉命中后返回自身。,
sYinyangScatter,"Multiply orb count by {0} and fire around.",将阴阳玉数量翻 {0} 倍; 向四周发射。,
sDreamSeal,"Shoot total {0} homing bullets, applies 3-turn spirit seal {1}, and gain 1 orb per turn.",发出共 {0} 颗追踪弹; 击中敌人后施加3回合封灵 {1} ; 每回合获得1个阴阳玉。,
sDreamSeal0,"3-turn magic seal",、3回合封魔,
sMultistrike,Deal 8 strike body damage to adjacent units {0} times. Gain one extra attack for every 5 more Dex. {1},对相邻单位造成8点钝击体术伤害 {0} 次; 每高出5点敏捷就额外攻击一次。{1},
sMultistrike0,Gain one extra attack for every 5 more Str.,每高出5点力量就额外攻击一次。,
sSpiralLightSteps,For {0} turns; movement speed +{1}%. Each movement deals 15 sonic bullet damage to enemies within 2 tiles. {2}, {0} 回合内; 移动速度+ {1} %; 每次移动对2格内敌人造成15点音波弹幕伤害。{2},
sSpiralLightSteps0,20% chance to stun them for 3 turns., 20%使其眩晕3回合。,
sCrimsonEnergyRelease,Whenever you take bullet damage; reduce bullet damage taken by {0}% and increase body damage dealt by {0}%; stacking up to 10 times. At the end of your turn {1},每受到一次弹幕伤害; 自身受到的弹幕伤害- {0} %、造成的体术伤害+ {0} %; 最多叠加10层。自身回合结束后{1},
sCrimsonEnergyRelease0,clear all stacks.,清空。,
sCrimsonEnergyRelease1,remove 2 stacks.,减少2层。,
sIntenseRainbowFist,Deal 20 strike body damage to an adjacent unit; then units within {0} tiles take half sonic bullet damage.,对一个相邻单位造成20点钝击体术伤害; 然后其 {0} 格内单位受到一半的音波弹幕伤害。,
sDapengFellingFist,Your next attack deals an additional {0} strike body damage; stun the target for 5 turns; and knocks it back 5 tiles; then exit the spell card. {1},下一次攻击附加造成 {0} 点钝击体术伤害、使其震慑5回合、击退5格; 然后退出符卡。{1},
sDapengFellingFist0,Movement speed +50% while active.,发动中移动速度+50%。,
sSummerRed,Launch a fireball that cannot be dodged and deals {0} damage. {1},发出一颗无法闪避的{0}伤害的火球。{1},
sSummerRed0,Creates a trail of flames along its path.,在路径上产生一道尾焰。,
sAgniShine,Randomly fire {0} flame bullets around you. On hit; {1}% chance to burn for 4 turns; dealing 100% extra damage.,随机向四周发出 {0} 颗火焰弹; 击中后 {1} %燃烧4回合造成100%额外伤害。,
sAgniRadiance,Unleash the power of fire as an aura. For {0} turns; fire damage +{1}%; fire resistance +100%. Units within 3 tiles have a 20% chance each turn to be stun until the skill ends. {2},将火元素的力量展开成一道气场;  {0} 回合内火焰伤害+ {1} %; 火焰抗性+100%; 3格内单位每回合20%被震慑直到技能结束。{2},
sAgniRadiance0,Units within 3 tiles take 20 sonic bullet damage each turn.,3格内单位每回合受到20音波弹幕伤害。,
sLavaCromlech,Fire a total of {0} lava bullets. After reaching maximum range they remain stationary for {1} turns before disappearing.,发射共 {0} 颗熔岩子弹; 达到最大射程后会静止 {1} 回合后才消失。,
sPhlogisticPillar,Alternately release water-fire phlogiston forward/backward and sideways; dealing 18 fire & frost damage and freezing/burning for {0} turns.,轮流向前后、两侧释放水火交错的燃素; 造成18火焰&寒冷伤害; 分别冰冻、燃烧 {0} 回合。,
sMesmerizingMisdirection,Fire {0} bullets. Increase hit rate by 50% and damage by {1}% for moving enemies.,发出 {0} 颗子弹。对移动的敌人命中率+50%、伤害+ {1} %。,
sImaginaryVerticalTime,The next danmaku will trigger {0} times; with an interval of {1}% cooldown.,下一次弹幕发动将连续发动 {0} 次; 间隔 {1} %冷却时间。,
sPerfectSquare,Lasts for 5 turns. Increase your overall speed by {0}%; reduce danmaku speed and hit rate of enemies within {1} tiles by {2}% and {3}%; respectively.,持续5回合。自身整体速度+ {0} %;  {1} 格内敌人弹幕速度- {2} %; 命中率- {3} %。,
sLunaDial,Pause time for an enemy for {0} turns. {1},使一个敌人的时间暂停 {0} 回合。{1},
sLunaDial0,Deal 50 damage upon quit. ,解除后对其造成50点伤害。,
sSakuyasWorld,Gain {0} turns. {1},获得 {0} 个回合。{1},
sSakuyasWorld0,Increase damage by 33%. ,伤害+33%。,
sStarOfDavid,Fire {0} bullets. Deal {1}% more damage to enemies with more than 90% health.,发出 {0} 颗子弹。对生命值>90%的敌人伤害+ {1} %。,
sScarletNetherworld,Release a red mist in a circular area with a radius of {0} for {1} turns. Non-vampire units lose 5 in Strength Agility and Constitution; and take 10 decay damage each turn in the mist. Vampire units gain 5 in Magic and Spirit.,对一片半径 {0} 的圆形区域释放红雾; 持续 {1} 回合。非吸血鬼单位在红雾中力量、敏捷、体质-5; 每回合受到10点枯萎伤害；吸血鬼单位在红雾中魔力、灵力+5。,
sScarletDevil,Each time you inflict decay damage; heal {0}% of the damage dealt as HP. {1},每次造成枯萎伤害时; 回复 {0} %伤害的生命值。{1},
sScarletDevil0,Increase decay damage by 20%. ,造成的枯萎伤害+20%。,
sScarletShoot,Fire {0} bullets. This skill takes 2 turns to execute.,发出 {0} 颗子弹。这个技能会花费2回合时间。,
sScarletGensokyo,Create a red mist around {0} tiles for 5 turns. Fire 160 bullets; and each bullet heals {1}% of the damage dealt to the user.,在周围 {0} 格制造持续5回合的红雾; 共发出160颗子弹; 这些子弹造成伤害时; 使用者回复伤害值 {1} %的生命值。{2},
sScarletGensokyo0,Increase bullet hit rate by 30%. ,子弹的命中率+30%。,
imUaStr,Memory of Crimson Will,赤焰之意的记忆,//////////////////物品名
imUaDex,Memory of Dancing Leaves,落叶流舞的记忆,
imUaCon,Memory of the EarthCunbound Shell,厚壳静守的记忆,
imUaSpi,Memory of Moonlit Prayer,月下祈愿的记忆,
imUaMag,Memory of Arcane Petals,秘花飘散的记忆,
imUaCun,Memory of Controlling dummy,人偶操使的记忆,
imUaAny,Memiory of Nascent Soul,萌芽之魂的记忆,
imSkill,Memory of Forgotten Arts,遗忘技艺的记忆,
imTalent,Memory of Awakening Talent,觉醒天赋的记忆,
iPowerBlock,Power Block,力量方块,
iDangoLight,Dango Light,光芒团子,
iDangoTriple,Dango Triple,三重团子,
iMagicPotion,Magic Potion,魔法药水,
iHealPotion,Heal Potion,治疗药水,
iAxe,Axe,斧头,
iDagger,Dagger,匕首,
iClub,Club,木棒,
iRapier,Rapier,细剑,
iQuarterStaff,Quarter Staff,短杖,
iBullWhip,Bull Whip,牛皮鞭,
iBarrageSet,Barrage Set,弹幕盒子,
iSpiritualStrikeTalisman,Spiritual Strike Talisman,灵击符,
iStopwatch,Stopwatch,停止时计,
iHakurouken,Hakurouken,白楼剑,
iSacrificialDoll,Sacrificial Doll,替身娃娃,
iGrimoire,Grimoire,西洋魔法书,
iCustomParasol,Custom Parasol,定制太阳伞,
iSoulTorch,Soul Torch,人魂灯,
iLeftHandedFoldingFan,Left-handed Folding Fan,左扇,
iIbukiGourd,Ibuki Gourd,伊吹瓢,
iTenguFan,Tengu Fan,天狗团扇,
iSpellBreakingDrug,Spell-Breaking Drug,符蚀药,
iAPennySaved,A Penny Saved,渡夜之钱,
iDivineRaimentoftheDragonFish,Divine Raiment of the Dragon Fish,龙宫之羽衣,
iSwordofScarletPerception,Sword of Scarlet Perception,绯想之剑,
iIllnessRecoveryCharm,Illness Recovery Charm,病气平愈护符,
iFrozenFrog,Frozen Frog,冰冻青蛙,
iDragonStar,Dragon Star,龙星,
iControlRod,Control Rod,制御棒,
iThreeHeavenlyDrops,Three Heavenly Drops,三粒之天滴,
idPowerBlock,All danmaku +1 damage.,所有弹幕+1伤害。,////////////////物品描述
idDangoLight,+2 vision.,+2视野,
idDangoTriple,+2 strength.,+2力量,
isMagicPotion,Restore 40% MP.,MP恢复40%,
isHealPotion,Restore 40% HP.,HP恢复40%,
idAxe,null,null,
idDagger,null,null,
idClub,null,null,
idRapier,null,null,
idQuarterStaff,null,null,
idBullWhip,null,null,
isBarrageSet,Shoot bullets,发射弹幕,
isSpiritualStrikeTalisman,Knock back units within 2 tiles by 4 tiles; remove all danmaku within 2 tiles,击退2格内单位4格; 清除2格内所有弹幕,
isStopwatch,Teleport to any location within 6 tiles,传送至6格内任意地点,
isHakurouken,Dash and attack an enemy within 5 tiles,冲刺并攻击5格内一个敌人,
idSacrificialDoll,10% chance to negate a negative status gained,10%抵消获得的负面状态,
idGrimoire,+2 Magic; MP recovery speed +50%,+2魔力; 魔力值回复速度+50%,
isCustomParasol,Gain a shield that can absorb up to 60 danmaku damage; lasts 5 turns,获得一个最多吸收60弹幕伤害的护盾; 持续5回合,
idSoulTorch,Absorb HP equal to 4% of the defeated enemy's Max HP,吸取被退治敌人4%MaxHp的生命值,
idLeftHandedFoldingFan,Martial attacks have a 30% chance to inflict Seal Magic for 3 turns,体术攻击30%附加3回合封魔,
idIbukiGourd,SP regeneration speed +100%,SP向上恢复速度+100%,
idTenguFan,Movement speed +25%,移动速度+25%,
idSpellBreakingDrug,Martial attacks have a 30% chance to inflict Spirit Seal for 3 turns,体术攻击30%附加3回合封灵,
idAPennySaved,Normal attacks consume 5 SP,普通攻击消耗5点SP,
idDivineRaimentoftheDragonFish,Evasion rate +5%; Graze rate +5%,闪避率+5%; 擦弹率+5%,
idSwordofScarletPerception,Martial attacks consume 5 HP,体术攻击消耗5点HP,
idIllnessRecoveryCharm,+2 Constitution; Healing coefficient +20%,+2体质; 治疗系数+20%,
isFrozenFrog,Immobilize an enemy for 2 turns,使一个敌人禁足2回合,
isDragonStar,Gain a shield that blocks 2 instances of any damage,获得一个抵挡2次任意伤害的护盾,
idControlRod,Damage dealt and taken +10%,受到和造成的伤害+10%,
idThreeHeavenlyDrops,When landing a critical hit; 10% chance to restore 50% HP,造成暴击时; 10%恢复50%Hp,
idmUaAny,+1 stat point.,+1属性点,
idmSkill,+2 skill points.,+2技能点,
idmUaStr,+4 Strength.,+4力量,
idmUaDex,+4 Agility.,+4敏捷,
idmUaCon,+4 Constitution.,+4体质,
idmUaSpi,+4 Spirit.,+4灵力,
idmUaMag,+4 Magic.,+4魔力,
idmUaCun,+4 Dexterity.,+4灵巧,
idmTalent,+1 talent point; +2 skill points.,+2天赋点; +1技能点
idBarrageSet,Danmaku box.,弹幕盒子,
idAddDamage,+5 damage.,+5伤害,
idSnakeRoute,Snake path\nSpeed +100%\nRange +50%,蛇形路径\n速度+100%\n距离+50%,
idChaosRoute,Chaos path\nRange +50%,混乱路径\n距离+50%,
idLeftCircleRoute,Left arc path\nSpeed +50%\nRange +50%,左弧线路径\n速度+50%\n距离+50%,
idRightCircleRoute,Right arc path\nSpeed +50%\nRange +50%,右弧线路径\n速度+50%\n距离+50%,
idGreatSpread,Full scatter.,全散射,
idSpeedUp,Acceleration\nSpeed +50%,加速\n速度+50%,
idSpeedDown,Deceleration\nSpeed -40%,减速\n速度-40%,
idRangeUp,Long shot\nRange +50%,远射\n距离+50%,
idCritUp,Critical rate increase\nCritical rate +15%,暴击率增加\n暴击率+15%,
idAccUp,Accuracy increase\nAccuracy +15%,命中率增加\n命中率+15%,
idMultiSpeedClone,Speed differential cloning.,差速复制,
idColumnClone,Column Clone,列复制,
idDraw2,Double release.,双重释放,
idCircleFire,Circular bullet.,环形弹,
idWay3Fire,Triple-direction bullet.,三向弹,
idRandomFire,Random bullet.,随机弹,
idPyramidFire,Pyramid bullet.,金字塔弹,
idStaticShape,Static Shape,静态形状,
ieAddMaxHp,,最大生命值+ {0} ,////////////////物品特效
ieAddMaxSp,,最大灵力值+ {0} ,
ieAddMaxMp,,最大魔力值+ {0} ,
ieHpRecover,,生命回复+ {0} ,
ieMpRecover,,魔力回复+ {0} ,
ieAddSpeedGlobal,,整体速度+ {0} %,
ieAddSpeedCombat,,战斗速度+ {0} %,
ieAddSpeedMove,,移动速度+ {0} %,
ieAddDamageBody,,体术伤害+ {0} %,
ieAddDamageBullet,,弹幕伤害+ {0} %,
ieAddHealRatio,,治疗系数+ {0} %,
ieAddBodyDamageAccuracy,,体术命中+ {0} %,
ieAddBulletDamageAccuracy,,弹幕命中+ {0} %,
ieAddDamageEvasion,,闪避率+ {0} %,
ieAddBulletGraze,,擦弹率+ {0} %,
ieAddStr,,力量+ {0} ,
ieAddDex,,敏捷+ {0} ,
ieAddCon,,体质+ {0} ,
ieAddSpi,,灵力+ {0} ,
ieAddMag,,魔力+ {0} ,
ieAddCun,,灵巧+ {0} ,
dtslash,slash,斩击,//////////////////////////////伤害属性
dtpierce,pierce,穿刺,
dtstrike,strike,钝击,
dtfire,fire,火焰,
dtcold,cold,寒冰,
dtlighting,lighting,闪电,
dtwind,wind,疾风,
dtearth,earth,大地,
dtarcane,arcane,奥术,
dtholy,holy,神圣,
dtshadow,shadow,暗影,
dtcelestial,celestial,星界,
dtspirit,spirit,灵体,
dtfaith,faith,信仰,
